2024_avg_score,byeWeek,MFL_PLAYER_ID,name,NFLPlayerCardInfo,NFLTeamforPlayer,position,match_source
14.2,8,13059,Davante Adams,"He's still a superstar, even on a new team with a crowded receiver room. He'll get his targets, and he’ll make plays. His value is higher than his ADP but him and Stafford need to stay healthy.",LAR,WR,already_had_id
19.8,8,16162,Jahmyr Gibbs,"He’s electric, explosive, and faaast. Draft him and watch him score in bunchesas he led all running backs with 16 rushing touchdowns in 2024",DET,RB,matched_from_sheet
14.6,14,16615,Malik Nabers,A second year player who might just lead the league in targets this year. He's dynamic and shifty when he gets the ball and can score on any play,NYG,WR,matched_from_sheet
13.4,14,16580,Drake Maye,One of the last QBs you’ll find in a fantasy draft who is definitely a starter and can run. Maye demonstrated outlandish talent last season but is getting a major upgrade in his coaching staff as well as in the talent around him.,NE,QB,matched_from_sheet
15.5,10,14835,Tee Higgins,"The number two in Cincinnati is a surefire fantasy WR2 with WR1 upside. He finally got his contract, and with Ja'Marr Chase drawing all the attention, Higgins is primed for a huge season.",CIN,WR,matched_from_sheet
17.1,12,14778,Tua Tagovailoa,"One of the league’s most productive pocket passers when healthy, but staying healthy is the hard part. While Tua’s health is his biggest concern, he played all 17 games in 2023 and led the NFL in passing yards.",MIA,QB,matched_from_sheet
15.3,12,16167,De'Von Achane,Achane's speed is a cheat code and his big-play ability is unmatched. Fun Fact: He averaged an outrageous 7.8 yards per carry as a rookie.,MIA,RB,matched_from_sheet
14.1,9,14104,A.J. Brown,"He's a top 5 receiver in football, but he's on a team that runs the ball among the most in the league. He'll win you weeks and have week's where he's real quiet",PHI,WR,matched_from_sheet
18.8,8,,Sam Darnold,"Sam Darnold led his team to 14 wins, but still will always be known for his memes",SEA,QB,UNMATCHED_needs_id
15.2,8,,Trevor Lawrence,"Lawrence could see a dramatic improvement in 2025 thanks to the arrival of new Jags head coach Liam Coen and his quarterback-friendly scheme. It won’t hurt, either, that Lawrence has a new big-time playmaker in Travis Hunter. After seeing Coen help turn Baker Mayfield into the QB4 in fantasy last year, it’s hard to put a ceiling on what he could do with Lawrence in Jacksonville.",JAC,QB,UNMATCHED_needs_id
16.3,5,15952,Jordan Love,"Love’s numbers in 2024 were stunted by injuries suffered throughout the season to his knee, shoulder, and elbow. When healthy, though, Love brings the upside to lead the league in passing touchdowns (he was second in 2023 with 32). He’s a big-play hunter with the arm strength and aggressiveness to make every throw and, critically, is surrounded by a talented core of young playmakers.",GB,QB,matched_from_sheet
13.9,8,9431,Matthew Stafford,"Stafford had a down year in the touchdown pass department in 2024, tossing just 20 scores, but it’s easy to see that number bouncing back closer to 30 this year, especially with the addition of red-zone monster Davante Adams. Stafford, who has averaged 28 passing touchdowns per 17 games over his 16 year career, could be a sneaky quarterback streamer this season or a solid QB2 in superflex.",LAR,QB,matched_from_sheet
15.9,8,,Kyren Williams,Kyren Williams scored 14 TDs and 1300 rushing yards last year. He's the go to when the Rams are in the red zone,LAR,RB,UNMATCHED_needs_id
,10,17030,Cam Ward,"#1 overall pick in last year's draft, but can he turn around the worst team in the league? He's got a good arm, and a playmaker, but time will tell",TEN,QB,matched_from_sheet
10.1,14,13049,Christian McCaffrey,"The fantasy GOAT is still someone to consider even with the injury risks. He's the highest floor and highest ceiling in fantasy football. He is one of only two players to ever rush for 1,000 yards and have 1,000 yards receiving in a single season.",SF,RB,already_had_id
,8,17042,Ashton Jeanty,A rookie with an elite college resume and first-round draft capital. Expect a monstrous workload from day one. He came within 27 yards of Barry Sanders’ single-season rushing record at Boise State in 2024.,LV,RB,matched_from_sheet
13.6,5,15751,Drake London,"Drake London is finally free from the constraints of Arthur Smith's coaching. He's a target monster with a new, more aggressive offense. He's a high-end WR2 with WR1 upside.",ATL,WR,matched_from_sheet
12.5,12,,Ladd McConkey,Last year Chargers rookie hit the ground running with an electric connection with Justin Herbert. He's a PPR machine and could be a league winner.,LAC,WR,UNMATCHED_needs_id
16.5,8,11150,Geno Smith,"Smith was QB16 last year in points per game and is now being drafted outside of the top 20 at his position. Even if the Raiders take a more run-balanced approach to their offense, Geno stands to benefit from a better offensive line, great weapons, and a competitive division that should produce plenty of high-scoring games.",LV,QB,matched_from_sheet
9.4,5,16583,Michael Penix Jr.,"Atlanta’s new golden boy is a high-risk, high-reward pick with a rocket arm, but an injury history. In his three starts in 2024, he led all rookie quarterbacks with a 87.6 Pro Football Focus passing grade.",ATL,QB,matched_from_sheet
14.6,14,,Bryce Young,"Young revitalized his career in the middle of last season, returning from his benching to lead a league-average unit. With new receiver Tetairoa McMillan, Young could be a perfectly middle-of-the-road QB.",CAR,QB,UNMATCHED_needs_id
10.5,12,13058,Tyreek Hill,"The Cheetah is still the most dangerous deep threat in the league. His production is a bit more volatile now, but his big-play ability is worth the risk.",MIA,WR,already_had_id
,6,,J.J. McCarthy,"It’s not ideal that he missed his entire rookie season to a meniscus tear, but McCarthy should benefit greatly by playing in one of the most quarterback-friendly offenses in football. Kevin O’Connell is a wizard at scheming guys open, and McCarthy will be throwing to the likes of Justin Jefferson, Jordan Addison, and T.J. Hockenson. The second-year pro could be far more efficient than expected—and maybe even prolific—in his debut season.",MIN,QB,UNMATCHED_needs_id
15.7,5,,Aaron Rodgers,"Rodgers' fantasy value is a wild ride, fueled by drama, conspiracy theories, and the ghosts of his Achilles tendon. Still he threw 28 TD passes and he's top 5 in the NFL all time in that category ",PIT,QB,UNMATCHED_needs_id
14.5,9,11671,Mike Evans,"He's a veteran who knows how to get open, even in a crowded receiver room. He's had 11 straight seasons with at least 1,000 receiving yards.",TB,WR,matched_from_sheet
13.3,12,,Terry McLaurin,"He finally got a new QB in Jaden Daniels, and put up great numbers last year. However this year he hasn't practiced with the team much as he hopes to get a new contract",WAS,WR,UNMATCHED_needs_id
16.8,11,14802,Jonathan Taylor,"It's been a while since he was the overall RB 1, but Taylor still has the juice, and little competition in Indianapolis",IND,RB,matched_from_sheet
13,9,16598,Bucky Irving,"A rookie breakout star, Irving is primed for an even bigger role this year. He's a league-winning talent waiting to happen.",TB,RB,matched_from_sheet
13.3,9,15708,Breece Hall,"The talent is undeniable, but the Jets offense is still a question mark. A new offensive coordinator brings a new system, making his fantasy outlook a high-risk, high-reward play.",NYJ,RB,matched_from_sheet
9.3,10,16620,Xavier Worthy,"His speed is a cheat code. He's a big-play threat who could be a boom-or-bust fantasy option, but his connection with Patrick Mahomes is something to watch.",KC,WR,matched_from_sheet
15.7,7,15715,James Cook,"His fantasy value is touchdown-dependent and he's due for regression. The volume is there, but a crowded backfield and a dip in scores could spell trouble.",BUF,RB,matched_from_sheet
13.2,10,,Rashee Rice,"His off-the-field issues are a concern, but his on-field production is not. He's an explosive receiver in a high-powered offense with Patrick Mahomes at the helm.",KC,WR,UNMATCHED_needs_id
15.9,11,,Anthony Richardson Sr.,"He's the Happy Gilmore of QB's he can throw it a mile, but can't hit a player 5 yards away consistently. ",IND,QB,UNMATCHED_needs_id
15.9,6,,Joe Mixon,"Mixon's value is tied to his health and his usage. There are too many storm clouds to warrant an early draft pick, but over the last four years, he has averaged 1,377 yards from scrimmage per season.",HOU,RB,UNMATCHED_needs_id
16.5,11,13132,Alvin Kamara,"Approaching his age-30 season on a team in transition, Kamara's receiving work will keep his floor high. He might not get the same high-end volume, but he's still a PPR machine.",NO,RB,matched_from_sheet
11.9,8,16185,Jaxon Smith-Njigba,"JSN is a PPR monster who is a threat to break out at any moment. With a new offensive coordinator, he should finally be unleashed.",SEA,WR,matched_from_sheet
14.4,8,15711,Kenneth Walker III,"He's ultra-efficient with the ball in his hands, but his long-term health is a concern. A new system and a potential committee could limit his upside, but his big-play ability is a game-changer.",SEA,RB,matched_from_sheet
11.1,5,13635,DJ Moore,"He's a target magnet who is a safe bet for a high-end WR2 finish. He's a great route runner with a knack for making big plays, but he's still a risky play with inconsistent quarterback play",CHI,WR,matched_from_sheet
9.7,8,16614,Marvin Harrison Jr.,"The generational prospect didn't exactly have a generational rookie year, but with a full season under his belt, it's a different story. He's a technician with Hall of Fame bloodlines. While he might have been a disappointment in fantasy last year, he did tie the Cardinals' rookie record for receiving touchdowns with eight.",ARI,WR,matched_from_sheet
10.1,7,16190,Zay Flowers,Lamar Jackson’s top target and the engine of the Ravens passing attack. He's a shifty route runner with game-breaking speed.,BAL,WR,matched_from_sheet
10.5,5,,DK Metcalf,"He’s a physical freak. Even with a new team and QB, he’s a dominant fantasy player. He finished 2024 with 66 catches, 992 yards, and 5 TDs",PIT,WR,UNMATCHED_needs_id
14.3,10,16181,Chase Brown,"He emerged as a workhorse in 2024 and is primed for an even bigger role. His versatility as a rusher and receiver makes him a high-floor, high-ceiling option. From Week 4 on in 2024, he was the RB6 in fantasy scoring.",CIN,RB,matched_from_sheet
14.4,8,,James Conner,"His new deal and a clear role make him a valuable mid-round pick if you're willing to gamble on his health. He's only the third player in Cardinals history with multiple 1,000-yard rushing seasons.",ARI,RB,UNMATCHED_needs_id
11.8,9,15753,Garrett Wilson,"He finally has a quality QB, and his fantasy production will soar. He's an elite route runner who will be a target monster.",NYJ,WR,matched_from_sheet
14.6,8,14071,David Montgomery,"The thunder to Jahmyr Gibbs' lightning, Montgomery is a touchdown machine, but he’s aging and could see a dip in volume. A new offensive coordinator might also shift the balance in the backfield.",DET,RB,matched_from_sheet
12.7,6,,Aaron Jones Sr.,"At 31 years old, the veteran is entering a committee backfield. He may still have some juice left, but his workload and efficiency are in question. He's finished as a top-15 fantasy RB in five of the last six seasons.",MIN,RB,UNMATCHED_needs_id
9.8,10,13629,Calvin Ridley,"A volatile deep threat who is a boom-or-bust fantasy option on a new team. The Titans are a run-heavy team, but he'll still get his shots downfield.",TEN,WR,matched_from_sheet
9.6,10,15762,George Pickens,"He's an explosive deep threat who can win with his size and speed. His fantasy value is highly dependent on his new quarterback, but the ceiling is sky-high.",DAL,WR,matched_from_sheet
14.7,14,15261,Chuba Hubbard,"Fresh off a breakout season and a new contract, Hubbard is a fantastic value. The Panthers' improving offense and his dual-threat ability make him a safe bet for weekly production.",CAR,RB,matched_from_sheet
11.4,5,14797,D'Andre Swift,"Back with his old offensive coordinator, Ben Johnson, Swift is set for a fresh start. His usage in the passing game and his big-play ability make him a high-end RB2 with RB1 upside.",CHI,RB,matched_from_sheet
12.1,6,,Jordan Addison,A talented wide receiver who's now the clear-cut #2 option in the Vikings' passing attack. He’s a big-play threat with a knack for finding the end zone. He had 63 catches for 875 yards and 9 TDs in 2024,MIN,WR,UNMATCHED_needs_id
11.8,12,13630,Courtland Sutton,"He's a touchdown machine and a red zone weapon, but his production is tied to inconsistent quarterback play",DEN,WR,matched_from_sheet
12.7,9,15282,DeVonta Smith,"He’s a crisp route runner who is arguably the best WR2 in the league. He'll have spike weeks, but other weeks where he's phased out of the offense. He finished 2024 with 68 catches for 833 yards and 8 TDs.",PHI,WR,matched_from_sheet
16.2,14,,Russell Wilson,Try his signature sandwitch. It's called the Danger Witch and it's dangerously good. Be careful though. It's spicy.,NYG,QB,UNMATCHED_needs_id
,12,17044,Omarion Hampton,The Chargers' first-round pick is a physical runner with a monster college production profile. He's primed to be the lead back in a run-heavy offense under Jim Harbaugh.,LAC,RB,matched_from_sheet
11.3,10,13053,Tony Pollard,"The days of Pollard as a highly efficient back are over. He's now a touchdown-dependent runner in a committee. He’s best used as a flex option in fantasy, hoping for a spike week.",TEN,RB,already_had_id
12.2,8,15756,Jameson Williams,"Finally healthy, he's a true difference-maker. He’s a speedster who can take the top off a defense and he's poised for a breakout season. He finished 2024 with 58 catches for 1,001 yards and 7 TDs",DET,WR,matched_from_sheet
12.1,8,15794,Trey McBride,"He’s a target monster who is the focal point of his offense. He’s a high-volume TE with a massive target share. He finished 2024 with 111 catches for 1,146 yards.",ARI,TE,matched_from_sheet
13.2,14,13299,George Kittle,He's a human wrecking ball who plays with reckless abandon. The veteran TE is a consistent high-end fantasy option with an incredible knack for big plays.,SF,TE,matched_from_sheet
12.2,8,16641,Brock Bowers,"Last year Bowers broke every TE rookie record in the book. He's a tight end with a WR's skillset and a QB who needs a security blanket. His volume is a cheat code. He finished his rookie season with a whopping 112 receptions for 1,194 yards.",LV,TE,matched_from_sheet
11.5,9,14833,Jerry Jeudy,"Now with a new team and a QB who actually throws the ball, Jeudy is a prime breakout candidate. He's a crisp route runner who is poised for a career year. He had a career-high 90 catches for 1,229 yards in 2024.",CLE,WR,matched_from_sheet
11.6,8,14127,Jakobi Meyers,"A reliable and consistent receiver who will provide a solid floor for your fantasy team. He won't give you massive spike weeks, but he's a great option in PPR leagues. He finished 2024 with 87 catches for 1,027 yards.",LV,WR,matched_from_sheet
8.5,12,14136,Deebo Samuel Sr.," The versatile weapon has had some down years, but with a new team, he's a prime candidate for a bounce-back. His value is tied to his health and his usage, so be wary",WAS,WR,matched_from_sheet
16.1,9,13163,Chris Godwin,"Godwin is a dependable receiver who provides a great floor, but his ceiling is limited by a crowded receiver room. He's a great WR3 in PPR leagues.",TB,WR,matched_from_sheet
,8,17074,Travis Hunter,"A rookie with superstar potential on both sides of the ball. His fantasy value is directly tied to his usage, but he's a game-breaking talent who could be a league winner.",JAC,WR,matched_from_sheet
6.9,5,16616,Rome Odunze,The rookie wide receiver is a polished route runner with elite size and speed. He's an instant contributor in a new-look offense. He finished 2024 with 54 catches for 734 yards and 3 TDs.,CHI,WR,matched_from_sheet
7.5,12,15284,Jaylen Waddle,A big-play threat with a new QB who loves to push the ball downfield. He's a boom-or-bust fantasy option who could have some massive weeks.,MIA,WR,matched_from_sheet
11.8,8,13164,Cooper Kupp,"The veteran receiver is a consistent PPR producer, but injuries and age are a concern. He's still a high-end WR2, but he's no longer the fantasy WR1 he once was.",SEA,WR,matched_from_sheet
11.5,14,,Jauan Jennings,"The 49ers' slot receiver is a sneaky fantasy option who could be a league-winner. With Deebo Samuel gone and Brandon Aiyuk recovering from a torn ACL, Jennings is set up for a huge season.",SF,WR,UNMATCHED_needs_id
10,5,16184,Jayden Reed,A dynamic weapon with the ability to turn a short catch into a massive gain. He's a player who makes his own luck. He finished his 2024 season with 55 catches for 857 yards and six touchdowns.,GB,WR,matched_from_sheet
,12,17068,RJ Harvey,"A rookie second-round pick, Harvey is a lightning-fast and shifty runner in Sean Payton’s offense. While he may split carries with J.K. Dobbins, his receiving skills and explosiveness give him immense upside.",DEN,RB,matched_from_sheet
7.5,7,16617,Keon Coleman,"The rookie's transition to the NFL was a little bumpy, but his physical tools are undeniable. He has a chance to be a red zone monster and the WR1 in Buffalo",BUF,WR,matched_from_sheet
10.7,12,,Brian Robinson Jr.,"A healthy Robinson could be the Commanders' workhorse. He is an early-down thumper who can catch passes, giving him a great floor and a solid ceiling.",WAS,RB,UNMATCHED_needs_id
,14,17043,TreVeyon Henderson,"A dynamic back with elite speed, he landed in a great situation with the Patriots. He may not get a full three-down workload, but his big-play ability makes him a threat to score on any touch.",NE,RB,matched_from_sheet
,5,17048,Kaleb Johnson,The rookie out of Iowa product is a powerful downhill runner who projects as the early-down back in Pittsburgh's run-heavy offense.,PIT,RB,matched_from_sheet
,5,17075,Matthew Golden,"A talented rookie who will fight for a role in a crowded receiver room. He has a great combination of speed and strength, but his opportunity is a concern.",GB,WR,matched_from_sheet
9.6,7,15761,Khalil Shakir,He's a great receiver but on the smaller side and plays in 3 reciever sets. He had 76 catches for 821 yards and four touchdowns in 2024.,BUF,WR,matched_from_sheet
,9,,Quinshon Judkins,Might not play much this season because of an off the field court case,CLE,RB,UNMATCHED_needs_id
,14,17071,Tetairoa McMillan,A big-bodied rookie wide receiver with a massive catch radius and a knack for making contested catches. He was a top 10 pick in the NFL Draft,CAR,WR,matched_from_sheet
7.6,11,15754,Chris Olave,A talented wide receiver who's in a run-heavy offense and has to deal with a new QB. His fantasy value is a bit of a mystery as he's a great reciever on a bad offense and has health issues of his own.,NO,WR,matched_from_sheet
7.1,14,16622,Ricky Pearsall,He's a perfect fit for a Shanahan-style offense. Pearsall got shot his rook year and still finished the season with 65 catches for 965 yards and four touchdowns.,SF,WR,matched_from_sheet
,11,17039,Tyler Shough,This rookie was the 40th overall pick in a bad QB class and will be fighting for a spot,NO,QB,matched_from_sheet
10.1,5,14974,Darnell Mooney,He finished his 2024 season with 64 receptions for 992 yards and five touchdowns. Should be the WR 2 in Atlanta,ATL,WR,matched_from_sheet
7.3,10,15749,Isiah Pacheco,Pacheco is poised to be a workhorse back in one of the league's best offenses. His physical running style and nose for the end zone make him a high-end RB2. He led the Chiefs in rushing yards and touchdowns despite missing nine games in 2024,KC,RB,matched_from_sheet
10.6,14,,Rhamondre Stevenson,"A new offense and a new coach means a blank slate for Stevenson. He's a powerful runner with pass-catching upside, but his fumbling issues are a major concern.",NE,RB,UNMATCHED_needs_id
8.2,11,,Michael Pittman Jr.,A target hog with a new contract. Pittman is a good not great reciever on a terrible offense,IND,WR,UNMATCHED_needs_id
9.6,14,16747,Tyrone Tracy Jr.,"One of the few brighter spots for the Giants last year, could be a lead rusher, but on a team that projects for one of the lowest points int he league",NYG,RB,matched_from_sheet
7.8,10,,Javonte Williams,"Now with the Cowboys, Williams is looking to recapture his pre-injury form. He's once was a tackle-breaking machine  but he had a career-low 3.7 yards per carry in 2024",DAL,RB,UNMATCHED_needs_id
9,8,16214,Sam LaPorta,"The sophomore slump hit hard, but he’s still a red zone threat in a high-powered offense. He’s a consistent TE1 with a high floor. He finished 2024 with 60 catches for 726 yards and seven touchdowns.",DET,TE,matched_from_sheet
12.3,14,13056,Stefon Diggs,"He's a proven veteran with a Hall of Fame resume, but injuries and age are a concern. He's a boom-or-bust fantasy option who could be a WR1 if he stays healthy. He finished his 2024 season with 47 receptions for 496 yards and three touchdowns before tearing his ACL.",NE,WR,already_had_id
9.2,10,13054,Travis Kelce,"He's a future Hall of Famer, but father time is undefeated. His production has been on the decline, but he's still a top-tier fantasy TE because of his volume and connection with Mahomes",KC,TE,already_had_id
11.6,11,16080,Rashid Shaheed,A speed demon who can take the top off a defense and make big plays. He's a great bench stash who can give you a couple of explosive weeks.,NO,WR,matched_from_sheet
7,5,,Jaylen Warren,"A dynamic and explosive player, Warren is the lightning to Kaleb Johnson's thunder. He'll get plenty of touches as a receiver out of the backfield",PIT,RB,UNMATCHED_needs_id
9.6,12,13050,Austin Ekeler,"The veteran running back is a high-floor PPR option in his new home in Washington. While he won't be a workhorse, his role as a pass-catching specialist will give him plenty of value.",WAS,RB,already_had_id
7.1,14,14840,Brandon Aiyuk,"A torn ACL in 2024 have dampened his fantasy value. He’s a risky pick, but the talent is there if he can get back on the field. He only played in seven games in 2024 and isn't expected to start the season",SF,WR,matched_from_sheet
9.8,12,16188,Quentin Johnston,The Chargers rookie is a boom-or-bust fantasy option who needs to prove he can catch the ball consistently in the NFL,LAC,WR,matched_from_sheet
,14,17045,Cam Skattebo,"A rookie with a physical style and pass-catching chops make him a fascinating fantasy prospect. He rushed for 1,715 yards and 21 touchdowns in his final college season.",NYG,RB,matched_from_sheet
9.5,7,13671,Mark Andrews,"He's a touchdown machine and a red zone weapon, but his volume is a concern. He's a great TE1, but he needs to stay healthy and fend off Isaiah Likely.",BAL,TE,matched_from_sheet
8,14,,Wan'Dale Robinson,"He's a PPR machine who makes a lot of catches, but doesn't do much with them. Still a solid producer with 93 catches for 699 yards",NYG,WR,UNMATCHED_needs_id
8.9,7,15293,Rashod Bateman,"Finally healthy, Bateman broke out as a red zone threat. He's a great value pick who could be a consistent WR2.",BAL,WR,matched_from_sheet
11.6,14,,Adam Thielen,"The veteran receiver is a consistent PPR producer, but his age is a concern. He’s a great WR3 in PPR leagues, but don't expect many huge games.",CAR,WR,UNMATCHED_needs_id
10.6,9,13192,David Njoku,Njoku is tough as nails as he burned his face last year and still played football. He's a high-end TE1 with top-5 upside if he can stay healthy. Still the offense is a concern.,CLE,TE,matched_from_sheet
9.8,8,16169,Zach Charbonnet,"Still in a committee with Kenneth Walker III, Charbonnet's role is a bit of a mystery. He's an efficient runner, but he needs a bigger workload to be a consistent fantasy producer.",SEA,RB,matched_from_sheet
7.2,6,13633,Christian Kirk,"The veteran slot receiver is a reliable option for your fantasy team, but he's no longer the high-end WR2 he once was. His fantasy value is directly tied to his targets and a deep receiver room.",HOU,WR,matched_from_sheet
10.9,9,,Rachaad White,"The former lead back now finds himself in a committee with rookie Bucky Irving. His pass-catching ability will keep him relevant, but he’s no longer a sure thing for a massive workload.",TB,RB,UNMATCHED_needs_id
11,12,15254,Najee Harris,He's got one eye - supposedly. Hard to see a clear path for a ton of playing time if news about his eye injury doesn't improve,LAC,RB,matched_from_sheet
6.8,10,,Marquise Brown,"""Hollywood"" Brown is a boom-or-bust deep threat with WR1 upside if he can stay healthy. He finished his 2024 season with a career-low nine receptions for 91 yards and no touchdowns in just two games.",KC,WR,UNMATCHED_needs_id
8.2,10,,Tyjae Spears,"Spears is a dynamic pass catcher, but hard to know how many touches he will get on an offense that has been one of the worst in the league",TEN,RB,UNMATCHED_needs_id
10.5,11,16187,Josh Downs,"He's a dynamic slot receiver who can make big plays. He’s a great PPR option, but his value is tied to inconsistent quarterback play. He finished 2024 with 72 catches for 803 yards and five touchdowns.",IND,WR,matched_from_sheet
6.6,6,13063,T.J. Hockenson,"Coming off a significant injury last year, his fantasy value is in question. However he did have 41 catches in just 8 games last year. When healthy, he's a target monster. He's a high-risk, high-reward pick",MIN,TE,already_had_id
