d,Franchise ID,playersPosition,teamPlayersName,MFL_ID,,,,Franchise_ID,FantasyTeamName
Big chip the rip ,0010,WR,Emeka Egbuka,17081,,,,,
Big chip the rip ,0010,WR,Tetairoa McMillan,17071,,,,,
Big chip the rip ,0010,TE,Tucker Kraft,16222,,,,,
Big chip the rip ,0010,TE,T.J. Hockenson,14138,,,,,
Big chip the rip ,0010,WR,Marvin Mims Jr.,16189,,,,,
Big chip the rip ,0010,WR,Pat Bryant,17082,,,,,
Big chip the rip ,0010,WR,Jalen Coker,16809,,,,,
Big Penix Energy ,0020,WR,Tee Higgins,14835,,,,,
Big Penix Energy ,0020,TE,Brock Bowers,16641,,,,,
Big Penix Energy ,0020,WR,Jaxon Smith-Njigba,16185,,,,,
Big Penix Energy ,0020,WR,Ricky Pearsall,16622,,,,,
Big Penix Energy ,0020,QB,Michael Penix Jr.,16583,,,,,
Big Penix Energy ,0020,TE,Cade Otton,15802,,,,,
Big Penix Energy ,0020,RB,Cam Skattebo,17045,,,,,
Big Penix Energy ,0020,WR,Emeka Egbuka,17081,,,,,
Big Penix Energy ,0020,RB,Jonathan Taylor,14802,,,,,
Big Penix Energy ,0020,RB,Kenneth Walker III,15711,,,,,
Big Penix Energy ,0020,QB,Cameron Ward,17030,,,,,
Big Penix Energy ,0020,WR,Tyler Lockett,12187,,,,,
Bobby Ellingwood's team,0012,WR,Tetairoa McMillan,17071,,,,,
Bobby Ellingwood's team,0012,RB,Jahmyr Gibbs,16162,,,,,
Bobby Ellingwood's team,0012,WR,Emeka Egbuka,17081,,,,,
Bobby Ellingwood's team,0012,RB,Omarion Hampton,17044,,,,,
Bobby Ellingwood's team,0012,RB,TreVeyon Henderson,17043,,,,,
Bobby Ellingwood's team,0012,WR,Drake London,15751,,,,,
Bobby Ellingwood's team,0012,QB,Drake Maye,16580,,,,,
Bobby Ellingwood's team,0012,WR,Calvin Ridley,13629,,,,,
Bobby Ellingwood's team,0012,TE,Tyler Warren,17102,,,,,
Bobby Ellingwood's team,0012,WR,Matthew Golden,17075,,,,,
Bobby Ellingwood's team,0012,TE,Brock Bowers,16641,,,,,
Bobby Ellingwood's team,0012,WR,Jayden Higgins,17083,,,,,
Brenna Hamilton's team,0005,WR,Ja'Marr Chase,15281,,,,,
Brenna Hamilton's team,0005,WR,Justin Jefferson,14836,,,,,
Brenna Hamilton's team,0005,QB,Jared Goff,12611,,,,,
Brenna Hamilton's team,0005,WR,Courtland Sutton,13630,,,,,
Brenna Hamilton's team,0005,TE,Trey McBride,15794,,,,,
Brenna Hamilton's team,0005,RB,RJ Harvey,17068,,,,,
Brenna Hamilton's team,0005,RB,TreVeyon Henderson,17043,,,,,
Brenna Hamilton's team,0005,TE,Dalton Kincaid,16213,,,,,
Brenna Hamilton's team,0005,QB,Spencer Rattler,16586,,,,,
Brenna Hamilton's team,0005,RB,Bhayshul Tuten,17052,,,,,
Brenna Hamilton's team,0005,QB,Shedeur Sanders,17031,,,,,
Chris Boyer 1,0031,QB,Jalen Hurts,14783,,,,,
Chris Boyer 1,0031,RB,TreVeyon Henderson,17043,,,,,
Chris Boyer 1,0031,WR,Jameson Williams,15756,,,,,
Chris Boyer 1,0031,RB,Omarion Hampton,17044,,,,,
Chris Boyer 1,0031,WR,Emeka Egbuka,17081,,,,,
Chris Boyer 1,0031,WR,Tetairoa McMillan,17071,,,,,
Chris Boyer 1,0031,TE,Tyler Warren,17102,,,,,
Chris Boyer 1,0031,TE,Evan Engram,13189,,,,,
Chris Boyer 1,0031,QB,Cam Ward,17030,,,,,
Chris Boyer 1,0031,RB,Jacory Croskey-Merritt,17256,,,,,
Chris Boyer 1,0031,WR,A.J. Brown,14104,,,,,
Chris Boyer 1,0031,RB,Jerome Ford,15713,,,,,
Chris Boyer 1,0031,RB,Braelon Allen,16596,,,,,
Chris Boyer 1,0031,WR,Rome Odunze,16616,,,,,
Chris Boyer 2,0032,QB,Jayden Daniels,16581,,,,,
Chris Boyer 2,0032,RB,Jahmyr Gibbs,16162,,,,,
Chris Boyer 2,0032,WR,Ja'Marr Chase,15281,,,,,
Chris Boyer 2,0032,WR,Emeka Egbuka,17081,,,,,
Chris Boyer 2,0032,TE,Evan Engram,13189,,,,,
Chris Boyer 2,0032,TE,Colston Loveland,17104,,,,,
Chris Boyer 2,0032,QB,Cam Ward,17030,,,,,
Chris Boyer 2,0032,RB,Jacory Croskey-Merritt,17256,,,,,
Chris Boyer 2,0032,RB,TreVeyon Henderson,17043,,,,,
Chris Boyer 2,0032,WR,Rome Odunze,16616,,,,,
Chris Boyer 2,0032,RB,Braelon Allen,16596,,,,,
Chris’ winning lineup ,0027,QB,Bo Nix,16582,,,,,
Chris’ winning lineup ,0027,QB,Dak Prescott,12620,,,,,
Chris’ winning lineup ,0027,WR,CeeDee Lamb,14832,,,,,
Chris’ winning lineup ,0027,RB,Kenneth Walker III,15711,,,,,
Chris’ winning lineup ,0027,RB,TreVeyon Henderson,17043,,,,,
Chris’ winning lineup ,0027,WR,Tetairoa McMillan,17071,,,,,
Chris’ winning lineup ,0027,WR,Emeka Egbuka,17081,,,,,
Chris’ winning lineup ,0027,WR,Marvin Mims Jr.,16189,,,,,
Chris’ winning lineup ,0027,TE,Tyler Warren,17102,,,,,
Chris’ winning lineup ,0027,TE,Tucker Kraft,16222,,,,,
Chris’ winning lineup ,0027,RB,Jacory Croskey-Merritt,17256,,,,,
Chris’ winning lineup ,0027,WR,Pat Bryant,17082,,,,,
Chris’ winning lineup ,0027,WR,Demarcus Robinson,12785,,,,,
Chris’ winning lineup ,0027,RB,Omarion Hampton,17044,,,,,
Danielle Nye McGinley's team,0001,QB,Jalen Hurts,14783,,,,,
Danielle Nye McGinley's team,0001,RB,Chuba Hubbard,15261,,,,,
Danielle Nye McGinley's team,0001,WR,Tyreek Hill,12801,,,,,
Danielle Nye McGinley's team,0001,WR,Cooper Kupp,13164,,,,,
Danielle Nye McGinley's team,0001,WR,Xavier Worthy,16620,,,,,
Danielle Nye McGinley's team,0001,RB,Omarion Hampton,17044,,,,,
Danielle Nye McGinley's team,0001,TE,Travis Kelce,11244,,,,,
Danielle Nye McGinley's team,0001,RB,Isiah Pacheco,15749,,,,,
Danielle Nye McGinley's team,0001,WR,Darnell Mooney,14974,,,,,
Danielle Nye McGinley's team,0001,WR,Keon Coleman,16617,,,,,
Danielle Nye McGinley's team,0001,WR,DeAndre Hopkins,11232,,,,,
Danielle Nye McGinley's team,0001,RB,Jacory Croskey-Merritt,17256,,,,,
Dez Nutz,0034,QB,Jared Goff,12611,,,,,
Dez Nutz,0034,RB,TreVeyon Henderson,17043,,,,,
Dez Nutz,0034,RB,Bucky Irving,16598,,,,,
Dez Nutz,0034,WR,Courtland Sutton,13630,,,,,
Dez Nutz,0034,WR,Nico Collins,15290,,,,,
Dez Nutz,0034,WR,DeVonta Smith,15282,,,,,
Dez Nutz,0034,TE,T.J. Hockenson,14138,,,,,
Dez Nutz,0034,RB,Dylan Sampson,17047,,,,,
Dez Nutz,0034,RB,Cam Skattebo,17045,,,,,
Dez Nutz,0034,WR,Emeka Egbuka,17081,,,,,
Dez Nutz,0034,WR,Tre Harris,17072,,,,,
Dez Nutz,0034,WR,Joshua Palmer,15319,,,,,
Dez Nutz,0034,TE,Dalton Kincaid,16213,,,,,
Dez Nutz,0034,QB,Jimmy Garoppolo,11760,,,,,
Dez Nutz,0034,WR,Jaylen Waddle,15284,,,,,
Dylan Henson's team,0025,QB,Jayden Daniels,16581,,,,,
Dylan Henson's team,0025,WR,Malik Nabers,16615,,,,,
Dylan Henson's team,0025,RB,Ashton Jeanty,17042,,,,,
Dylan Henson's team,0025,RB,Omarion Hampton,17044,,,,,
Dylan Henson's team,0025,TE,Brock Bowers,16641,,,,,
Dylan Henson's team,0025,WR,Travis Hunter,17074,,,,,
Dylan Henson's team,0025,WR,Emeka Egbuka,17081,,,,,
Dylan Henson's team,0025,WR,Jayden Higgins,17083,,,,,
Dylan Henson's team,0025,TE,Tyler Warren,17102,,,,,
Dylan Henson's team,0025,TE,David Njoku,13192,,,,,
Dylan Henson's team,0025,RB,Tyler Allgeier,15712,,,,,
Dylan Henson's team,0025,RB,Jordan Mason,15972,,,,,
E-Vail,0004,QB,Josh Allen,13589,,,,,
E-Vail,0004,RB,Saquon Barkley,13604,,,,,
E-Vail,0004,WR,DJ Moore,13635,,,,,
E-Vail,0004,WR,Deebo Samuel Sr.,14136,,,,,
E-Vail,0004,WR,Jayden Reed,16184,,,,,
E-Vail,0004,TE,Sam LaPorta,16214,,,,,
E-Vail,0004,QB,Spencer Rattler,16586,,,,,
E-Vail,0004,TE,T.J. Hockenson,14138,,,,,
E-Vail,0004,TE,Dalton Kincaid,16213,,,,,
E-Vail,0004,RB,Travis Etienne Jr.,15253,,,,,
E-Vail,0004,RB,Kenneth Walker III,15711,,,,,
END ZONE OTIS,0019,QB,Michael Penix Jr.,16583,,,,,
END ZONE OTIS,0019,WR,Ricky Pearsall,16622,,,,,
END ZONE OTIS,0019,WR,Emeka Egbuka,17081,,,,,
END ZONE OTIS,0019,WR,Jalen Coker,16809,,,,,
END ZONE OTIS,0019,WR,Pat Bryant,17082,,,,,
END ZONE OTIS ,0019,RB,Chuba Hubbard,15261,,,,,
END ZONE OTIS ,0019,WR,Jakobi Meyers,14127,,,,,
END ZONE OTIS ,0019,TE,George Kittle,13299,,,,,
END ZONE OTIS ,0019,TE,Travis Kelce,11244,,,,,
END ZONE OTIS ,0019,RB,Jahmyr Gibbs,16162,,,,,
END ZONE OTIS ,0019,RB,Tank Bigsby,16164,,,,,
END ZONE OTIS ,0019,QB,Joe Burrow,14777,,,,,
Farhan Mamun's team,0006,QB,C.J. Stroud,16150,,,,,
Farhan Mamun's team,0006,QB,Justin Herbert,14779,,,,,
Farhan Mamun's team,0006,RB,Breece Hall,15708,,,,,
Farhan Mamun's team,0006,RB,Jonathan Taylor,14802,,,,,
Farhan Mamun's team,0006,RB,Isiah Pacheco,15749,,,,,
Farhan Mamun's team,0006,RB,Travis Etienne Jr.,15253,,,,,
Farhan Mamun's team,0006,RB,Jaylen Wright,16610,,,,,
Farhan Mamun's team,0006,WR,Jaylen Waddle,15284,,,,,
Farhan Mamun's team,0006,WR,Chris Olave,15754,,,,,
Farhan Mamun's team,0006,WR,Stefon Diggs,12186,,,,,
Farhan Mamun's team,0006,WR,Tyler Lockett,12187,,,,,
Farhan Mamun's team,0006,WR,Josh Downs,16187,,,,,
Farhan Mamun's team,0006,WR,Christian Kirk,13633,,,,,
Farhan Mamun's team,0006,TE,Sam LaPorta,16214,,,,,
Farhan Mamun's team,0006,TE,Dalton Kincaid,16213,,,,,
Gary Nye's team,0015,WR,George Pickens,15762,,,,,
Gary Nye's team,0015,RB,Bijan Robinson,16161,,,,,
Gary Nye's team,0015,RB,James Cook,15715,,,,,
Gary Nye's team,0015,RB,Zach Charbonnet,16169,,,,,
Gary Nye's team,0015,RB,Kaleb Johnson,17048,,,,,
Gary Nye's team,0015,WR,Ricky Pearsall,16622,,,,,
Gary Nye's team,0015,WR,Rashod Bateman,15293,,,,,
Gary Nye's team,0015,TE,Sam LaPorta,16214,,,,,
Gary Nye's team,0015,QB,C.J. Stroud,16150,,,,,
Gary Nye's team,0015,QB,Matthew Stafford,9431,,,,,
Gary Nye's team,0015,WR,Brandon Aiyuk,14840,,,,,
Gary Nye's team,0015,TE,Isaiah Likely,15798,,,,,
Godwins Plan,0018,WR,Ricky Pearsall,16622,,,,,
Godwins Plan,0018,RB,Jacory Croskey-Merritt,17256,,,,,
Godwins Plan,0018,RB,Braelon Allen,16596,,,,,
Godwins Plan,0018,QB,Daniel Jones,14059,,,,,
Godwins Plan,0018,QB,Jaxson Dart,17032,,,,,
Godwins Plan,0018,RB,Christian McCaffrey,13130,,,,,
Godwins Plan,0018,WR,Drake London,15751,,,,,
Godwins Plan,0018,TE,Tyler Warren,17102,,,,,
Godwins Plan,0018,WR,Tetairoa McMillan,17071,,,,,
Godwins Plan,0018,QB,Dak Prescott,12620,,,,,
Godwins Plan,0018,QB,Jayden Daniels,16581,,,,,
Godwins Plan,0018,TE,T.J. Hockenson,14138,,,,,
Godwins Plan,0018,RB,Isiah Pacheco,15749,,,,,
Godwins Plan,0018,WR,Dyami Brown,15292,,,,,
Godwins Plan,0018,WR,Jayden Higgins,17083,,,,,
Jareds Team Joe's Moma,0023,QB,Jordan Love,15952,,,,,
Jareds Team Joe's Moma,0023,RB,Omarion Hampton,17044,,,,,
Jareds Team Joe's Moma,0023,RB,Isiah Pacheco,15749,,,,,
Jareds Team Joe's Moma,0023,RB,TreVeyon Henderson,17043,,,,,
Jareds Team Joe's Moma,0023,TE,Brock Bowers,16641,,,,,
Jareds Team Joe's Moma,0023,WR,Nico Collins,15290,,,,,
Jareds Team Joe's Moma,0023,WR,Drake London,15751,,,,,
Jareds Team Joe's Moma,0023,WR,Garrett Wilson,15753,,,,,
Jareds Team Joe's Moma,0023,WR,Jameson Williams,15756,,,,,
Jareds Team Joe's Moma,0023,WR,Emeka Egbuka,17081,,,,,
Jareds Team Joe's Moma,0023,WR,Cedric Tillman,16191,,,,,
Jewish McCaffrey,0036,WR,CeeDee Lamb,14832,,,,,
Jewish McCaffrey,0036,QB,Geno Smith,11150,,,,,
Jewish McCaffrey,0036,RB,Christian McCaffrey,13130,,,,,
Jewish McCaffrey,0036,WR,Tre Tucker,16287,,,,,
Jewish McCaffrey,0036,WR,Tetairoa McMillan,17071,,,,,
Jewish McCaffrey,0036,TE,Tyler Warren,17102,,,,,
Jewish McCaffrey,0036,TE,Colston Loveland,17104,,,,,
Jewish McCaffrey,0036,RB,Braelon Allen,16596,,,,,
Jewish McCaffrey,0036,WR,A.J. Brown,14104,,,,,
Jewish McCaffrey,0036,WR,Drake London,15751,,,,,
Jewish McCaffrey,0036,QB,Joe Flacco,9064,,,,,
Jewish McCaffrey,0036,QB,Jaxson Dart,17032,,,,,
Jewish McCaffrey,0036,RB,Omarion Hampton,17044,,,,,
Jewish McCaffrey,0036,RB,Tank Bigsby,16164,,,,,
Jewish McCaffrey,0036,RB,Jacory Croskey-Merritt,17256,,,,,
Joe Bob Briggs,0008,RB,Austin Ekeler,13404,,,,,
Joe Bob Briggs,0008,WR,Marvin Harrison Jr.,16614,,,,,
Joe Bob Briggs,0008,WR,CeeDee Lamb,14832,,,,,
Joe Bob Briggs,0008,WR,A.J. Brown,14104,,,,,
Joe Bob Briggs,0008,QB,Jalen Hurts,14783,,,,,
Joe Bob Briggs,0008,WR,DeVonta Smith,15282,,,,,
Joe Bob Briggs,0008,RB,Cam Skattebo,17045,,,,,
Joe Bob Briggs,0008,RB,Miles Sanders,14079,,,,,
Joe Bob Briggs,0008,TE,T.J. Hockenson,14138,,,,,
Joe Bob Briggs,0008,TE,Dallas Goedert,13674,,,,,
Joe Bob Briggs,0008,QB,Daniel Jones,14059,,,,,
Joe Bob Briggs,0008,QB,Shedeur Sanders,17031,,,,,
Joe Bob Briggs,0008,RB,Zack Moss,,,,,,
John Vogan's team,0013,QB,Joe Burrow,14777,,,,,
John Vogan's team,0013,RB,Alvin Kamara,13132,,,,,
John Vogan's team,0013,RB,Jonathan Taylor,14802,,,,,
John Vogan's team,0013,WR,Tee Higgins,14835,,,,,
John Vogan's team,0013,WR,Davante Adams,11675,,,,,
John Vogan's team,0013,WR,Zay Flowers,16190,,,,,
John Vogan's team,0013,TE,Dalton Kincaid,16213,,,,,
John Vogan's team,0013,TE,Mike Gesicki,13672,,,,,
John Vogan's team,0013,QB,Daniel Jones,14059,,,,,
John Vogan's team,0013,RB,Najee Harris,15254,,,,,
John Vogan's team,0013,WR,Rashid Shaheed,16080,,,,,
Julia Machado 's team,0016,QB,Joe Burrow,14777,,,,,
Julia Machado 's team,0016,RB,James Cook,15715,,,,,
Julia Machado 's team,0016,RB,Isaac Guerendo,16688,,,,,
Julia Machado 's team,0016,WR,Amon-Ra St. Brown,15287,,,,,
Julia Machado 's team,0016,TE,Brock Bowers,16641,,,,,
Julia Machado 's team,0016,WR,Drake London,15751,,,,,
Julia Machado 's team,0016,WR,Tyler Lockett,12187,,,,,
Julia Machado 's team,0016,QB,Tyler Shough,17039,,,,,
Julia Machado 's team,0016,RB,Travis Etienne Jr.,15253,,,,,
Julia Machado 's team,0016,WR,Allen Lazard,13632,,,,,
Julia Machado 's team,0016,RB,Isiah Pacheco,15749,,,,,
Julia Machado 's team,0016,RB,Jerome Ford,15713,,,,,
Julia Machado 's team,0016,TE,Chig Okonkwo,15889,,,,,
Kevin Kettl,0033,RB,James Cook,15715,,,,,
Kevin Kettl,0033,TE,Travis Kelce,11244,,,,,
Kevin Kettl,0033,WR,Nico Collins,15290,,,,,
Kevin Kettl,0033,WR,Zay Flowers,16190,,,,,
Kevin Kettl,0033,WR,Christian Kirk,13633,,,,,
Kevin Kettl,0033,QB,Tua Tagovailoa,14778,,,,,
Kevin Kettl,0033,QB,Patrick Mahomes II,13116,,,,,
Kevin Kettl,0033,RB,Jordan Mason,15972,,,,,
Kevin Kettl,0033,WR,Brandin Cooks,11674,,,,,
Kevin Kettl,0033,RB,Chuba Hubbard,15261,,,,,
Kevin Kettl,0033,RB,Tank Bigsby,16164,,,,,
Matt varner's team 1,0014,RB,TreVeyon Henderson,17043,,,,,
Matt varner's team 1,0014,RB,Isiah Pacheco,15749,,,,,
Matt varner's team 1,0014,WR,Emeka Egbuka,17081,,,,,
Matt varner's team 1,0014,RB,Ashton Jeanty,17042,,,,,
Matt varner's team 1,0014,WR,Xavier Worthy,16620,,,,,
Matt varner's team 1,0014,WR,Matthew Golden,17075,,,,,
Matt varner's team 1,0014,WR,Brian Thomas Jr.,16618,,,,,
Matt varner's team 1,0014,QB,Bo Nix,16582,,,,,
Matt varner's team 1,0014,QB,Drake Maye,16580,,,,,
Matt varner's team 1,0014,WR,Alec Pierce,15768,,,,,
Matt varner's team 1,0014,RB,Braelon Allen,16596,,,,,
Matt varner's team 1,0014,TE,Tyler Warren,17102,,,,,
Matt varner's team 1,0014,TE,Colston Loveland,17104,,,,,
Matt varner's team 1,0014,TE,Brenton Strange,16269,,,,,
Matt varner's team 2,0029,WR,Tetairoa McMillan,17071,,,,,
Matt varner's team 2,0029,WR,Matthew Golden,17075,,,,,
Matt varner's team 2,0029,WR,Ricky Pearsall,16622,,,,,
Matt varner's team 2,0029,RB,Bucky Irving,16598,,,,,
Matt varner's team 2,0029,RB,Chase Brown,16181,,,,,
Matt varner's team 2,0029,RB,Tyrone Tracy Jr.,16747,,,,,
Matt varner's team 2,0029,WR,Joshua Palmer,15319,,,,,
Matt varner's team 2,0029,RB,Jacory Croskey-Merritt,17256,,,,,
Matt varner's team 2,0029,WR,Emeka Egbuka,17081,,,,,
Matt varner's team 2,0029,TE,Brock Bowers,16641,,,,,
Matt varner's team 2,0029,TE,Tyler Warren,17102,,,,,
Matt varner's team 2,0029,RB,Miles Sanders,14079,,,,,
Matt varner's team 2,0029,QB,Caleb Williams,16579,,,,,
Matt varner's team 2,0029,QB,Baker Mayfield,13590,,,,,
Prince Of Glenalbyn,0030,QB,Jordan Love,15952,,,,,
Prince Of Glenalbyn,0030,RB,Jonathan Taylor,14802,,,,,
Prince Of Glenalbyn,0030,WR,Xavier Worthy,16620,,,,,
Prince Of Glenalbyn,0030,WR,Zay Flowers,16190,,,,,
Prince Of Glenalbyn,0030,RB,D'Andre Swift,14797,,,,,
Prince Of Glenalbyn,0030,TE,Travis Kelce,11244,,,,,
Prince Of Glenalbyn,0030,RB,Jaylen Wright,16610,,,,,
Prince Of Glenalbyn,0030,TE,Mason Taylor,17106,,,,,
Prince Of Glenalbyn,0030,QB,Jayden Daniels,16581,,,,,
Prince Of Glenalbyn,0030,WR,Josh Downs,16187,,,,,
Prince Of Glenalbyn,0030,QB,Jimmy Garoppolo,11760,,,,,
Prince Of Glenalbyn,0030,WR,Chris Godwin,13163,,,,,
Prince Of Glenalbyn,0030,RB,Miles Sanders,14079,,,,,
Rootin’ for Tuten,0003,QB,Josh Allen,13589,,,,,
Rootin’ for Tuten,0003,QB,Lamar Jackson,13593,,,,,
Rootin’ for Tuten,0003,WR,CeeDee Lamb,14832,,,,,
Rootin’ for Tuten,0003,RB,Chase Brown,16181,,,,,
Rootin’ for Tuten,0003,TE,Evan Engram,13189,,,,,
Rootin’ for Tuten,0003,TE,Tyler Warren,17102,,,,,
Rootin’ for Tuten,0003,WR,Ricky Pearsall,16622,,,,,
Rootin’ for Tuten,0003,WR,Andrei Iosivas,16207,,,,,
Rootin’ for Tuten,0003,WR,Jalen Coker,16809,,,,,
Rootin’ for Tuten,0003,RB,Bhayshul Tuten,17052,,,,,
Rootin’ for Tuten,0003,RB,Jacory Croskey-Merritt,17256,,,,,
Rootin’ for Tuten,0003,WR,Noah Brown,13172,,,,,
Rootin’ for Tuten,0003,RB,Samaje Perine,13133,,,,,
Rootin’ for Tuten,0003,QB,Joe Flacco,9064,,,,,
Shannon Nye's team,0026,QB,Patrick Mahomes II,13116,,,,,
Shannon Nye's team,0026,QB,Jordan Love,15952,,,,,
Shannon Nye's team,0026,RB,Jonathan Taylor,14802,,,,,
Shannon Nye's team,0026,WR,Xavier Worthy,16620,,,,,
Shannon Nye's team,0026,WR,Zay Flowers,16190,,,,,
Shannon Nye's team,0026,RB,D'Andre Swift,14797,,,,,
Shannon Nye's team,0026,TE,Travis Kelce,11244,,,,,
Shannon Nye's team,0026,RB,Jaylen Wright,16610,,,,,
Shannon Nye's team,0026,WR,DeVonta Smith,15282,,,,,
Shannon Nye's team,0026,WR,Joshua Palmer,15319,,,,,
Shannon Nye's team,0026,RB,Travis Etienne Jr.,15253,,,,,
SlimShady,0009,QB,Jayden Daniels,16581,,,,,
SlimShady,0009,WR,Malik Nabers,16615,,,,,
SlimShady,0009,RB,Ashton Jeanty,17042,,,,,
SlimShady,0009,RB,Omarion Hampton,17044,,,,,
SlimShady,0009,TE,Brock Bowers,16641,,,,,
SlimShady,0009,WR,Travis Hunter,17074,,,,,
SlimShady,0009,WR,Emeka Egbuka,17081,,,,,
SlimShady,0009,WR,Jayden Higgins,17083,,,,,
SlimShady,0009,TE,Tyler Warren,17102,,,,,
SlimShady,0009,QB,Jimmy Garoppolo,11760,,,,,
SlimShady,0009,RB,Kareem Hunt,13138,,,,,
